HouseholdID	Eth.Iso	Eth.Num
1149	WAD	168
1150	SEU	138
1151	WAD	168
1152	WAD	168
1153	WAD	168
1154	WAD	168
1155	WAD	168
1156	WAD	168
1157	WAD	168
1158	WAD	168
1159	WAD	168
1160	WAD	168
1161	WAD	168
1162	WAD	168
1163	UNK	167
1164	BHW	23
1165	BHW	23
1166	WAD	168
1167	GOP	54
1168	GOP	54
1169	UNK	167
1170	GOP	54
1171	GOP	54
1172	GOP	54
1173	BHW	23
1174	CIA	43
1175	GOP	54
1176	GOP	54
1177	GOP	54
1178	GOP	54
1179	GOP	54
1180	GOP	54
1181	GOP	54
1182	GOP	54
1183	GOP	54
1184	GOP	54
1185	UNK	167
1186	GOP	54
1187	GOP	54
1188	GOP	54
1189	RNN	131
1190	GOP	54
1191	GOP	54
1192	GOP	54
1193	GOP	54
1194	GOP	54
1195	GOP	54
1196	GOP	54
1197	GOP	54
1198	WAD	168
1199	GOP	54
1200	WAD	168
1201	MNX	107
1202	MHZ	98
1203	FAK	48
1204	WAD	168
1205	WAD	168
1206	WAD	168
1207	WAD	168
1208	WAD	168
1209	WAD	168
1210	WAD	168
1211	WAD	168
1212	SEU	138
1213	BHW	23
1214	WAD	168
1215	WAD	168
1216	TFT	156
1217	WAD	168
1218	WAD	168
1219	WAD	168
1220	WAD	168
1221	CIA	43
1222	UNK	167
1223	WAD	168
1224	SEU	138
1225	WAD	168
1226	TWD	165
1227	MVX	111
1228	WAD	168
1229	WAD	168
1230	WAD	168
1231	WAD	168
1232	MVX	111
1233	ROS	133
1234	WAD	168
1235	WAD	168
1236	WAD	168
1237	TWD	165
1238	TWD	165
1239	RNN	131
1240	UNK	167
1241	WAD	168
1242	BHW	23
1243	BHW	23
1244	SEU	138
1245	BHW	23
1246	BHW	23
1247	BHW	23
1248	BHW	23
1249	BHW	23
1250	BHW	23
1251	BHW	23
1252	BHW	23
1253	BHW	23
1254	BHW	23
1255	BHW	23
1256	BHW	23
1257	BHW	23
1258	BHW	23
1259	BHW	23
1260	BHW	23
1261	BHW	23
1262	BHW	23
1263	BHW	23
1264	BHW	23
1265	BHW	23
1266	BHW	23
1267	BHW	23
1268	BHW	23
1269	BHW	23
1270	BHW	23
1271	BHW	23
1272	BHW	23
1273	BHW	23
1274	BHW	23
1275	BHW	23
1276	BHW	23
1277	BHW	23
1278	BHW	23
1279	BHW	23
1280	YAP	182
1281	BHW	23
1282	BHW	23
1283	BHW	23
1284	BHW	23
1285	BHW	23
1286	BHW	23
1287	BHW	23
1288	BHW	23
1289	BHW	23
1290	BHW	23
1291	BHW	23
1292	BHW	23
1293	BHW	23
1294	BHW	23
1296	BHW	23
1297	BHW	23
1298	BHW	23
1299	BHW	23
1300	BHW	23
1301	BHW	23
1302	BHW	23
1303	BHW	23
1304	BHW	23
1305	BHW	23
1306	BHW	23
1307	BHW	23
1308	BHW	23
1309	BHW	23
1310	BHW	23
1311	BHW	23
1312	BHW	23
1313	BHW	23
1314	BHW	23
1315	BHW	23
1316	BHW-BUG	24
1317	BHW	23
1318	BHP	21
1319	BHW	23
1320	BHW	23
1322	BHW	23
1323	BHW	23
1324	BHW	23
1325	BHW	23
1326	BHW	23
1327	BHW	23
1328	BHW	23
1329	BHW	23
1330	BHW	23
1331	BHW	23
1332	BHW	23
1333	BHW	23
1334	BHW	23
1335	BHW	23
1336	BHW	23
1337	BHW	23
1338	BHW	23
1339	BHW	23
1340	BHW	23
1341	BHW	23
1342	BHW	23
1343	BHW	23
1344	BHW	23
1345	BHW	23
1346	BHW	23
1348	BHW	23
1349	BHW	23
1350	BHW	23
1351	BHW	23
1352	BHW	23
1353	BHW	23
1354	BHW	23
1355	BHW	23
1356	BHW	23
1357	BHW	23
1358	BHW	23
1359	BHW	23
1360	SEU	138
1361	WRP	175
1362	ARI	12
1363	TTI	162
1364	WRP	175
1365	TTI	162
1366	MHZ-WRP	100
1367	ABS	1
1368	ARI	12
1369	ARI	12
1370	WRP	175
1371	TTI	162
1372	ABS	1
1373	ARI	12
1374	NAB	117
1375	WRP	175
1376	UNK	167
1377	MHZ	98
1378	BHP	21
1379	ARI	12
1380	SUL	147
1381	ARI	12
1382	ARI	12
1383	ARI	12
1384	MAK	91
1385	ARI	12
1386	ARI	12
1387	BHW	23
1388	BHW	23
1389	WAD	168
1390	ARI	12
1391	WRP	175
1392	ARI	12
1393	ARI	12
1394	WRP	175
1395	ARI	12
1396	ARI	12
1397	MXN	112
1398	MHZ	98
1399	MHZ	98
1400	MHZ	98
1401	UNK	167
1402	WRP	175
1403	ARI	12
1404	ARI	12
1405	WRP	175
1406	MHZ-SEU	99
1407	ARI	12
1408	ARI	12
1409	MVD	110
1410	ARI	12
1411	UNK	167
1412	WRP	175
1413	ARI	12
1414	WRP	175
1415	WEI-WRP	170
1416	UNK	167
1417	ARI	12
1418	ARI	12
1419	ARI	12
1420	ARI	12
1421	XMM	179
1422	ARI	12
1423	ARI	12
1424	NAB	117
1425	WRP	175
1426	NAB	117
1427	WRP	175
1428	WRP	175
1429	UNK	167
1430	WRP	175
1431	NAB	117
1432	SEU	138
1433	NAB	117
1434	WRP	175
1435	WRP	175
1436	NAB	117
1437	SEU	138
1438	NAB	117
1439	WRP	175
1440	NAB	117
1441	WRP	175
1442	WEI	169
1443	KEI	70
1444	WRP	175
1445	BHW	23
1446	KPS	80
1447	WRP	175
1448	WEI-WRP	170
1449	BHP	21
1450	WEI-WRP	170
1451	UNK	167
1452	SET	137
1453	AND-SEU	10
1454	WEI	169
1455	WEI-WRP	170
1456	XMM	179
1457	WEI	169
1458	WEI-WRP	170
1459	UNK	167
1460	WEI-WRP	170
1461	UNK	167
1462	AND-SEU	10
1463	WRP	175
1464	MNX -WRP	108
1465	BHP	21
1466	WEI-WRP	170
1467	WAD	168
1468	WEI	169
1469	WEI	169
1470	WEI	169
1471	WRP	175
1472	BHW	23
1473	BHW	23
1474	BHW	23
1475	BHW	23
1476	BHW	23
1477	BHW	23
1478	BHW	23
1479	BHW	23
1480	BHW	23
1481	BHW	23
1482	MXN	112
1483	BHW	23
1484	WRP	175
1485	BHW	23
1486	BHW	23
1487	BHW	23
1488	BHW	23
1489	BHW	23
1490	SEU	138
1491	BUG	37
1492	GES	52
1493	BUG	37
1494	CIA	43
1495	JAV	66
1496	CIA	43
1497	BUG	37
1498	BUG	37
1499	SWU	150
1500	BDL	17
1501	BDL	17
1502	SUL	147
1503	BUG	37
1504	MAK	91
1505	MXN	112
1506	ZRS	184
1507	MAK	91
1508	ZRS	184
1509	IRX-ZRS	63
1510	ZRS	184
1511	BHW	23
1512	BHW	23
1513	BHW	23
1514	BHW	23
1515	BHW	23
1516	ZRS	184
1517	NXR	125
1518	ZRS	184
1519	ZRS	184
1520	MXN	112
1521	ZRS	184
1522	ZRS	184
1523	ZRS	184
1524	ZRS	184
1525	MNU	106
1526	KGQ	73
1527	KGX	75
1528	AGF	6
1529	MNU	106
1530	KGQ	73
1531	NAP	118
1532	IRX	62
1533	CIA	43
1534	NAP	118
1535	KGQ	73
1536	KEI	70
1537	UNK	167
1538	NAP	118
1539	BHW	23
1540	ZRS	184
1541	ASI	13
1542	UNK	167
1543	ASI	13
1544	ASI	13
1545	SZP	152
1546	IRX	62
1547	UNK	167
1548	UNK	167
1549	UNK	167
1550	UNK	167
1551	ZRS	184
1552	AYZ	16
1553	AGF-IRH	7
1554	ZRS	184
1555	BHW	23
1556	BHW	23
1557	ZRS	184
1558	ZRS	184
1559	ZRS	184
1560	CIA	43
1561	BHW	23
1562	BHW	23
1563	BHW	23
1564	BDW	18
1565	BDW	18
1566	BDW	18
1567	BHW	23
1568	BHW	23
1569	BHW	23
1570	BHW	23
1571	BHW	23
1572	BHW	23
1573	BDW	18
1574	BDW	18
1575	BDW	18
1576	BDW	18
1577	BDW	18
1578	SEU	138
1579	BDW	18
1580	BDW	18
1581	BDW	18
1582	GES	52
1583	BDW	18
1584	BDW	18
1585	JAY	67
1586	BHW	23
1587	BHW	23
1588	BHW	23
1589	BHW	23
1590	BHW	23
1591	BHW	23
1592	BHW	23
