HouseholdID	MPAID	SettlementID	InterviewYear	YearsResident	TimeMarket	PaternalEthnicity	Religion	PrimaryLivelihood	SecondaryLivelihood	TertiaryLivelihood	FreqFish	FreqSaleFish	PercentIncomeFish	FreqEatFish	PercentProteinFish	MajorFishTechnique	EconomicStatusTrend	AssetCar	AssetTruck	AssetCarTruck	AssetBicycle	AssetMotorcycle	AssetBoatNoMotor	AssetBoatOutboard	AssetBoatInboard	AssetLandlinePhone	AssetCellPhone	AssetPhoneCombined	AssetTV	AssetRadio	AssetStereo	AssetCD	AssetDVD	AssetEntertain	AssetSatellite	AssetGenerator	CookingFuel	FSNotEnough	FSDidNotLast	FSBalancedDiet	FSAdultSkip	FSFreqAdultSkip	FSEatLess	FSHungry	FSChildPortion	FSLowCostFood	FSChildSkip	FSFreqChildSkip	FSNoMealChild	RightsAccess	RightsHarvest	RightsManage	RightsExclude	RightsTransfer	SocialConflict	MarineGroup	OtherGroup	PlaceHappy	PlaceFavourite	PlaceMiss	PlaceBest	PlaceFishHere	PlaceBeMyself	Baseline_t2_pairs
4889	3	114	2014	32	0.625	Lakahia	1	1	3	996	3	2	2	3	3	1	2	0	0		0	0	0	0	0	0	0		0	0	0	0	0		0	0	3	1	3	1	0	2	1	0	0	2	0	994	3	1	1	0	0	0	3	0	0	4	5	4	4	4	4	0
4888	3	114	2014	33	0.02	Komoro	1	1	998	998	994	994	994	994	994	994	2	0	0		0	0	0	0	0	2	0		0	0	0	0	0		0	0	3	2	1	2	1	3	1	0	0	1	0	994	3	1	1	1	1	0	3	0	1	4	4	4	4	4	4	0
4887	3	114	2014	27	0.01	Jawa	2	996	998	998	994	994	994	994	994	994	3	0	0		0	0	0	0	0	0	0		0	0	0	0	0		0	0	2	2	2	1	0	994	0	0	998	998	998	998	998	1	0	0	0	0	3	0	0	5	5	5	4	998	4	0
4886	3	114	2014	52	0.08	Lakahia	1	3	1	7	3	3	2	3	2	996	3	0	0		0	0	1	1	0	0	0		1	0	0	1	0		0	0	3	2	3	2	1	2	0	0	1	3	0	994	3	1	1	1	1	0	3	0	1	4	4	4	4	4	4	0
4885	3	114	2014	16	0.02	Key Besar	1	3	7	7	1	1	1	5	4	1	2	0	0		0	0	0	1	0	8	0		1	0	2	1	1		0	0	3	3	3	1	1	3	0	0	0	2	0	994	3	1	0	1	1	0	3	0	1	3	4	4	4	3	4	0
4884	3	81	2014	44	3	Koiwai	2	1	996	3	2	1	3	4	4	1	3	0	0		1	0	0	0	0	0	0		1	0	1	1	0		0	0	3	2	3	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	4	1	0	4	4	4	4	4	4	4884
4883	3	81	2014	43	4	Kisar	2	996	1	3	994	994	994	4	4	994	2	0	0		1	0	0	2	0	2	0		2	0	2	1	2		1	1	3	2	3	2	0	994	0	0	0	3	0	994	3	1	0	1	0	0	4	1	1	4	4	5	4	2	4	4883
4882	3	81	2014	20	3.5	Manado	2	3	7	998	4	2	4	5	2	1	4	0	0		1	0	1	1	0	1	0		1	0	4	0	0		1	1	3	1	3	2	1	3	1	0	0	2	0	994	3	1	1	1	0	0	2	1	1	4	4	4	4	4	4	0
4881	3	81	2014	26	3	Adi Jaya	2	1	7	998	994	994	994	3	2	994	3	0	0		0	0	1	0	0	0	0		0	0	0	0	0		0	0	3	1	3	2	1	3	1	0	1	2	0	994	3	1	0	0	0	0	3	0	1	4	3	5	3	4	4	0
4880	3	81	2014	14	3	Serui /Ansus	2	3	1	998	2	3	3	4	5	1	3	0	0		1	0	0	0	0	1	0		1	0	0	0	0		0	1	3	2	3	2	0	994	0	0	0	3	0	994	3	1	1	0	0	0	4	0	1	4	4	4	4	4	4	4880
