HouseholdID	SettlementID	PaternalEthnicity	Eth.Num	Eth.Iso
451	39	BIAK BESER	23	BHW
452	39	BIAK BESER	23	BHW
453	39	BIAK BESER	23	BHW
454	39	BIAK RAJA AMPAT	23	BHW
455	40	BIAK BESER	23	BHW
456	40	BIAK BESER	23	BHW
457	40	BIAK BESER	23	BHW
458	40	BIAK BESER	23	BHW
459	40	BIAK BESER	23	BHW
460	40	BIAK BESER	23	BHW
461	40	BIAK BESER	23	BHW
462	40	BIAK BESER	23	BHW
463	40	BIAK BESER	23	BHW
464	40	BIAK BESER	23	BHW
465	40	BIAK BESER	23	BHW
466	40	BIAK BESER	23	BHW
467	40	BIAK BESER	23	BHW
468	40	BIAK BESER	23	BHW
469	40	TERNATE	156	TFT
470	40	BIAK BESER	23	BHW
471	40	BIAK BESER	23	BHW
472	40	BIAK BESER	23	BHW
473	40	BIAK BESER	23	BHW
474	40	BIAK BESER	23	BHW
475	40	BIAK BESER	23	BHW
476	40	BIAK BESER	23	BHW
477	40	BIAK BESER	23	BHW
478	40	BIAK BESER	23	BHW
479	40	BIAK BESER	23	BHW
480	40	BIAK BESER	23	BHW
481	40	BIAK BESER	23	BHW
482	40	BIAK BESER	23	BHW
483	40	BIAK BESER	23	BHW
484	40	BIAK BESER	23	BHW
485	40	BIAK BESER	23	BHW
486	40	BIAK BESER	23	BHW
487	40	BIAK BESER	23	BHW
488	40	BIAK BESER	23	BHW
489	40	BIAK BESER	23	BHW
490	40	BIAK BESER	23	BHW
491	40	BIAK BESER	23	BHW
492	40	BIAK BESER	23	BHW
493	40	BIAK BESER	23	BHW
494	40	BIAK BESER	23	BHW
495	40	BIAK BESER	23	BHW
496	40	TEMINABUAN	80	KPS
497	40	BIAK BESER	23	BHW
498	40	BIAK BESER	23	BHW
499	40	BIAK BESER	23	BHW
500	41	TERNATE	156	TFT
501	41	BIAK BESER	23	BHW
502	41	TERNATE/DOBO	1	ABS
503	41	TERNATE/DOBO	1	ABS
504	41	BIAK BESER	23	BHW
505	41	BIAK RAJA AMPAT	23	BHW
506	41	BIAK BESER	23	BHW
507	41	TERNATE/DOBO	1	ABS
508	41	BIAK BESER	23	BHW
509	41	BIAK BESER	23	BHW
510	41	BIAK BESER	23	BHW
511	41	BIAK BESER	23	BHW
512	41	BIAK BESER	23	BHW
513	42	BIAK BESER	23	BHW
514	42	BIAK BESER	23	BHW
515	42	BIAK BESER	23	BHW
516	42	BIAK BESER	23	BHW
517	42	BIAK BESER	23	BHW
518	42	BIAK BESER	23	BHW
519	42	TOBELO	157	TLB
520	42	BIAK BESER	23	BHW
521	42	BIAK BESER	23	BHW
522	42	BIAK BESER	23	BHW
523	42	BIAK BESER	23	BHW
524	42	BIAK BESER	23	BHW
525	42	BIAK BESER	23	BHW
526	42	BIAK BESER	23	BHW
527	42	BIAK BESER	23	BHW
528	42	BIAK BESER	23	BHW
529	42	BIAK BESER	23	BHW
530	42	BIAK BESER	23	BHW
531	42	BIAK BESER	23	BHW
532	42	BIAK BESER	23	BHW
533	42	BIAK BESER	23	BHW
534	42	FLORES (NTT)	124	NTT
535	42	BIAK BESER	23	BHW
536	42	BIAK BESER	23	BHW
537	42	BIAK BESER	23	BHW
538	42	BIAK BESER	23	BHW
539	42	BIAK BESER	23	BHW
540	42	BIAK BESER	23	BHW
541	42	BIAK BESER	23	BHW
542	42	BIAK BESER	23	BHW
543	42	BIAK BESER	23	BHW
544	43	AMBON/MALUKU	1	ABS
545	43	BIAK BESER	23	BHW
546	43	BIAK RAJA AMPAT	23	BHW
547	43	BIAK BESER	23	BHW
548	43	BIAK BESER	23	BHW
549	43	BIAK RAJA AMPAT	23	BHW
550	43	BIAK BESER	23	BHW
551	43	BIAK BESER	23	BHW
552	43	BIAK BESER	23	BHW
553	43	TOBELO	157	TLB
554	43	BIAK BESER	23	BHW
555	43	AMBON/MALUKU	1	ABS
556	43	BIAK BESER	23	BHW
557	43	BIAK BESER	23	BHW
558	43	BIAK BESER	23	BHW
559	43	BIAK BESER	23	BHW
560	44	BIAK RAJA AMPAT	23	BHW
561	44	BIAK RAJA AMPAT	23	BHW
562	44	JAWA	66	JAV
563	44	BIAK RAJA AMPAT	23	BHW
564	44	BIAK RAJA AMPAT	23	BHW
565	44	BIAK RAJA AMPAT	23	BHW
566	44	BIAK RAJA AMPAT	23	BHW
567	44	BIAK RAJA AMPAT	23	BHW
568	44	BIAK BESER	23	BHW
569	44	BIAK BESER	23	BHW
570	44	BIAK BESER	23	BHW
571	44	TERNATE	156	TFT
572	44	BIAK RAJA AMPAT	23	BHW
573	44	BIAK BESER	23	BHW
574	44	ADONARA/AMBON	5	ADR
575	44	BIAK BESER	23	BHW
576	44	TOBELO	157	TLB
577	45	BIAK BESER	23	BHW
578	45	BIGA	20	BHC
579	45	TIMUR (NTT)	11	AOZ
580	45	SULAWESI TENGAH	147	SUL
581	45	BIAK BESER	23	BHW
582	45	BIAK BESER	23	BHW
583	45	BIAK BESER	23	BHW
584	45	BIAK BESER	23	BHW
585	45	JAYAPURA	162	TTI
586	45	BIAK BESER	23	BHW
587	45	BIAK BESER	23	BHW
588	45	BIAK BESER	23	BHW
589	45	BIAK BESER	23	BHW
590	45	BIAK BESER	23	BHW
591	45	BIAK BESER	23	BHW
592	45	BIAK BESER	23	BHW
593	45	BIAK BESER	23	BHW
594	45	BIAK BESER	23	BHW
595	45	BIAK BESER	23	BHW
596	45	BIAK BESER	23	BHW
597	45	BIAK BESER	23	BHW
598	45	AMBON	1	ABS
599	45	BIAK BESER	23	BHW
600	45	BIAK BESER	23	BHW
601	45	BIAK BESER	23	BHW
602	45	BIAK BESER	23	BHW
603	45	BIAK BESER	23	BHW
604	45	NTB (NUSA TENGGARA BARAT)	123	NTB
605	45	BIAK	23	BHW
606	45	PALU	88	LEW
607	45	BIAK BESER	23	BHW
608	45	BIAK	23	BHW
609	45	BIAK BESER	23	BHW
610	45	BIAK WARDO	23	BHW
611	45	BIAK BESER	23	BHW
612	45	BIAK BESER	23	BHW
613	45	AMBON	1	ABS
614	45	BIAK BESER	23	BHW
615	45	BIAK BESER	23	BHW
616	45	BIAK BESER	23	BHW
617	45	NTT (NUSA TENGGARA TIMUR)	124	NTT
618	45	NA	116	NA
619	45	BIAK BESER	23	BHW
620	46	JAWA	66	JAV
621	46	BIAK BESER	23	BHW
622	46	BIAK BESER	23	BHW
